,accuracy,precision,recall,f1,roc_auc,cv_roc_auc_mean,cv_roc_auc_std
Logistic Regression,0.724,0.4016282225237449,0.7272727272727273,0.5174825174825175,0.7920370293251648,0.7786388458167599,0.019921657803435133
Decision Tree,0.7565,0.443342776203966,0.769041769041769,0.5624438454627134,0.8262391821713856,0.8235517331047568,0.012306614268226788
Random Forest,0.846,0.6112359550561798,0.6683046683046683,0.6384976525821596,0.8667157141733415,0.8573629262936888,0.011748798815715635
Gradient Boosting,0.868,0.7848605577689243,0.48402948402948404,0.5987841945288754,0.8707451673553368,0.8645782569752771,0.009307481594536787
